"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SPICEMODEL";"SPICEPREFIX";"SPICETYPE";"SUPPLIER";"TP_SIGNAL_NAME";
"C1";"1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C2";"0.47µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C3";"0.1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C4";"0.47µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C5";"0.47µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C6";"10µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C7";"0.47µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C8";"0.47µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C9";"0.47µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C10";"0.1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C11";"10µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C12";"4.7µF / 25V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C13";"10µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C14";"0.1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C15";"18pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C16";"18pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C17";"0.1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C18";"10µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C21";"0.1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C22";"0.1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C23";"15pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C24";"15pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C25";"10µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C26";"0.1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C27";"10µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C28";"10µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C29";"0.1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C30";"0.47µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C31";"0.1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C32";"0.1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C33";"10µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C34";"0.1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C35";"1nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C36";"1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C37";"1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C38";"1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C39";"2.2µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C40";"1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C41";"0.1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C42";"4.7µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C43";"EECS5R5H155";"EECS5R5H155";"TH";"";"";"";"";"";"";"";"";"";"";"";"";
"C44";"1000µF";"CPOL-EUE22-10AXIAL";"E22-10";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C45";"1000µF";"CPOL-EUE22-10AXIAL";"E22-10";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C46";"1000µF";"CPOL-EUE22-10AXIAL";"E22-10";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C47";"1000µF";"CPOL-EUE22-10AXIAL";"E22-10";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"C49";"1000µF";"CPOL-EUE22-10AXIAL";"E22-10";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"CONN1";"bottom";"MA10-1";"MA10-1";"PIN HEADER";"";"";"";"unknown";"unknown";"";"";"";"";"";"";
"CONN2";"bottom left";"FE20-1";"FE20";"FEMALE HEADER";"";"";"";"unknown";"unknown";"";"";"";"";"";"";
"CONN3";"bottom right";"FE20-1";"FE20";"FEMALE HEADER";"";"";"";"unknown";"unknown";"";"";"";"";"";"";
"CONN4";"mid";"MA10-1";"MA10-1";"PIN HEADER";"";"";"";"unknown";"unknown";"";"";"";"";"";"";
"CONN5";"mid left";"FE20-1";"FE20";"FEMALE HEADER";"";"";"";"unknown";"unknown";"";"";"";"";"";"";
"CONN6";"mid right";"FE20-1";"FE20";"FEMALE HEADER";"";"";"";"unknown";"unknown";"";"";"";"";"";"";
"CONN7";"top";"MA10-1";"MA10-1";"PIN HEADER";"";"";"";"unknown";"unknown";"";"";"";"";"";"";
"CONN8";"top left";"FE20-1";"FE20";"FEMALE HEADER";"";"";"";"unknown";"unknown";"";"";"";"";"";"";
"CONN9";"top right";"FE20-1";"FE20";"FEMALE HEADER";"";"";"";"unknown";"unknown";"";"";"";"";"";"";
"CONN10";"JTAG";"1.27-10-PIN-HEADER";"TH";"";"";"";"";"";"";"";"";"";"";"";"";
"CONN11";"I2C";"JP1E";"JP1";"JUMPER";"";"";"";"";"";"";"";"";"";"";"";
"CONN12";"board";"1.27-10-PIN-HEADER";"TH";"";"";"";"";"";"";"";"";"";"";"";"";
"CONN13";"lid";"1.27-10-PIN-HEADER";"TH";"";"";"";"";"";"";"";"";"";"";"";"";
"CONN14";"MX500075-1517USB_MINI-B";"MX500075-1517USB_MINI-B";"TH";"";"";"";"";"";"";"";"";"";"";"";"";
"CONN15";"U.FL-R-SMT 1";"ANTENNASMD";"SMD";"Antenna";"";"";"";"";"";"";"";"";"";"";"";
"CONN16";"LiPo Battery";"JST_2PIN-THM-RA";"JST-PH-2-THM-RA";"JST 2-Pin Connectors of various flavors";"";"";"";"";"";"";"";"";"";"";"";
"D1";"1N4148";"1N4148";"D0805";"DIODE";"";"";"";"";"";"";"";"";"";"";"";
"D2";"";"SCHOTTKY-DIODEF126Z12";"DIODE_F126Z12";"Schottky Diode";"";"";"";"";"";"";"NONE";"D";"diode";"";"";
"FI1";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";"";"";"";"";"";"";
"FI2";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";"";"";"";"";"";"";
"IC1";"ATMEGA1281-16AU";"ATMEGA1281-16AU";"QFP80P1600X1600X120-64N";"Microcontroller";"Microcontroller";"";"ATMEGA1281-16AU";"1455092";"58M3721";"QFP-64";"";"";"";"ATMEL";"";
"IC2";"MC1525TT";"MC1525TT";"SOT23";"2.5V and 4.096V Voltage References";"";"";"";"unknown";"unknown";"";"";"";"";"";"";
"IC3";"TMP36GRTZ";"TMP36GRTZ-REEL7";"SOT95P280X145-5N";"Low Voltage Temperature Sensors";"";"";"TMP36GRTZ-REEL7";"1661084";"96K2116";"SOT23-5";"";"";"";"Analog Devices";"";
"IC4";"TPS63031";"TPS63001DRCR";"NEWPVSON-N10";"";"";"";"";"";"";"";"";"";"";"";"";
"IC5";"MCP73871-2AAI/ML";"MCP73871-2AAI/ML";"QFN50P400X400X100-21N";"IC, BATTERY CHARGER, 1A";"";"";"MCP73871-2AAI/ML";"1642487";"54M4955";"QFN-20";"";"";"";"Microchip";"";
"IC6";"SN74HCT14DR";"SN74HCT14DR";"SOIC127P600X175-14N";"Hex Inverting Schmitt Trigger Inverters";"";"";"SN74HCT14DR";"1387913";"67K2834";"SOIC-14";"";"";"";"Texas Instruments";"";
"IC7";"FT230XS";"FT230XS";"SSOP16";"USB to BASIC UART IC";"";"";"";"";"";"";"";"";"";"";"";
"IC8";"SN74LVC1G3157DBVR - BT switch";"SN74LVC1G3157DBVR";"SOT95P280X145-6N";"SINGLE-POLE, DOUBLE-THROW ANALOG SWITCH";"";"";"SN74LVC1G3157DBVR";"1470910";"32H6364";"SOT-23-6";"";"";"";"Texas Instruments";"";
"IC9";"SN74LVC1G3157DBVR - GPS switch";"SN74LVC1G3157DBVR";"SOT95P280X145-6N";"SINGLE-POLE, DOUBLE-THROW ANALOG SWITCH";"";"";"SN74LVC1G3157DBVR";"1470910";"32H6364";"SOT-23-6";"";"";"";"Texas Instruments";"";
"IC10";"ORG1510-MK4";"ORG1510-MK4";"PACKAGE";"";"";"";"";"";"";"";"";"";"";"";"";
"IC11";"TPS3808G33DBVT";"TPS3808G33DBVT";"SOT95P280X145-6N";"Low Quiescent Current, Programmable-Delay   Supervisory Circuit";"";"";"TPS3808G33DBVT";"1755534";"21J9211";"SOT-23-6";"";"";"";"Texas Instruments";"";
"IC12";"LTC4425";"LTC4425";"MSOP";"The ISL85003 and ISL85003A are synchronous buck regulators with integrated high-side and low-side FET’s. The regulator can operate from an input voltage range of 4.5V to 18V while delivering a very efficient continuous 3A current.";"";"";"";"";"";"";"";"";"";"";"";
"IC13";"RN-42";"RN-42";"RN-42";"";"";"";"";"";"";"";"";"";"";"";"";
"IC14";"ADXL345";"ADXL345";"LGA14";"3-Axis, ±2 g/±4 g/±8 g/±16 g Digital Accelerometer";"";"";"";"";"";"";"";"";"";"";"";
"IC15";"74HCT1G32";"74HCT1G32GW-DC";"SOT353/5";"Two Input OR gate";"";"";"";"";"";"";"";"";"";"";"";
"IC16";"FM25W256-SOIC";"FM25W256-SOIC";"SOIC08";"FeRAM Module";"";"";"";"unknown";"unknown";"";"";"";"";"";"";
"IC17";"MICROSD_SPI_MODE";"MICROSD_SPI_MODE";"MICRO_SD_CONNECTOR";"MOLEX - 49225-0821 - CONNECTEUR MICRO SD PUSH/PUSH REVFabricant: MOLEXCode commande Farnell: 1366700Référence fabricant: 49225-0821";"";"";"";"";"";"";"";"";"";"";"";
"IC18";"FH12-30S-0.5SH";"FH12-30S-0.5SH";"FH12-30S-0.5SH";"0.5mm Pitch Connectors For FPC/FFC";"";"";"FH12-30S-0.5SH(55)";"1324555";"34M6176";"";"";"";"";"";"";
"IC19";"DS1394U-33+";"DS1394U-33+";"10UMAX";"";"";"";"";"";"";"";"";"";"";"";"";
"IC20";"115Q-BCA0";"115Q-BCA0";"115Q-BCA0";"";"";"";"";"";"";"";"";"";"";"";"";
"IC21";"SIM800";"SIM800";"SIM800C";"";"";"";"";"";"";"";"";"";"";"";"";
